,CRC
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.259567387687188
Growth 1yr High Est,-0.11774461028192373
Growth 1yr Consensus Est,-0.18865599898455587
Growth 2yr Low Est,0.06347473312269813
Growth 2yr High Est,0.23906002568610574
Growth 2yr Consensus Est,0.15126737940440194
Growth 5yr Low Est,0.06347473312269813
Growth 5yr High Est,0.23906002568610574
Growth 5yr Consensus Est,0.15126737940440194
Growth 5yr Actual/Est,1.204295742020652
Growth 3yr Historic,1.1190476190476188
