,RBLX
Price/Earnings (TTM),
Price/Sales (TTM),8.61557
Price/Book (MRQ),45.02139
Price/Cash Flow (TTM),
5yr Low,21.65
5yr High,141.6
5yr Avg Return,-0.04745000000000005
Short Int Current Month,26793938.0
Short Int Prev Month,35331741.0
Short Int Pct of Float,0.051180199999999995
Days to Cover,1.44974
Float,473.6122
Shares Outstanding,600.8161
Institutions Holding Shares,774.0
% Held by Institutions,0.7314919999999999
FCF Growth 5yr,-0.929076303218376
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
