,SWIM
Price/Earnings (TTM),55.42508
Price/Sales (TTM),0.57056
Price/Book (MRQ),1.04164
Price/Cash Flow (TTM),9.26977
5yr Low,2.75
5yr High,34.73
5yr Avg Return,-0.42805
EPS Growth 5yr,
Revenue Growth 5yr,0.2056391
Dividend Growth 5yr,
Short Int Current Month,2134271.0
Short Int Prev Month,2253691.0
Short Int Pct of Float,0.0235053
Days to Cover,2.78026
Float,105.7832
Shares Outstanding,117.1211
Institutions Holding Shares,176.0
% Held by Institutions,0.858746
FCF Growth 5yr,-3.038708199053687
