,SWIM
% Above Low,0.2036
% Held by Institutions,0.8587
52-Wk Range,['2.75 - 27.25']
Annual Dividend $,
Annual Dividend %,
Ask,3.32
Ask Size,2800.0
B/A Ratio,0.10714285714285714
B/A Size,300x2800
Beta,
Bid,3.31
Bid Size,300.0
Day Change $,-0.23
Day Change %,-0.065
Day High,3.7
Day Low,3.28
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.06
Ex-dividend Date,No dividend
Historical Volatility,0.876
Last (size),100.0
Last (time),3:44p ET 11/28/22
Market Cap,387.7M
"P/E Ratio (TTM, GAAP)",55.43
Prev Close,3.54
Price,3.31
Shares Outstanding,117.1M
Short Interest,0.0235
Today's Open,3.48
Volume Past Day,(Light)
