,FCN
% Below High,0.0897
% Held by Institutions,1.0390000000000001
52-Wk Range,['132.36 - 190.43']
Annual Dividend $,
Annual Dividend %,
Ask,180.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.2
Bid,150.01
Bid Size,100.0
Closing Price,173.35
Day Change $,0.05
Day Change %,0.0003
Day High,174.24
Day Low,172.46
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.32
Ex-dividend Date,No dividend
Historical Volatility,0.341
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,6.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.42
Prev Close,173.3
Shares Outstanding,34.4M
Short Interest,0.0705
Today's Open,173.99
Volume,51462.0
Volume 10-day Avg,229604.0
Volume Past Day,(Light)
