,FCN
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-0.009049773755656076
Growth 1yr High Est,-0.013452914798206428
Growth 1yr Consensus Est,-0.011251344276931252
Growth 2yr Low Est,0.05864101875383099
Growth 2yr High Est,0.05842505775241197
Growth 2yr Consensus Est,0.05853303825312148
Growth 5yr Low Est,0.06265384271024882
Growth 5yr High Est,0.05983333424533352
Growth 5yr Consensus Est,0.06124358847779117
Growth 5yr Actual/Est,0.06590603208850992
Growth 3yr Historic,0.04032654999712165
