,PCTY
Price/Earnings (TTM),134.7522
Price/Sales (TTM),12.95958
Price/Book (MRQ),19.60486
Price/Cash Flow (TTM),85.19643
5yr Low,41.15
5yr High,314.5
5yr Avg Return,0.3464
EPS Growth 5yr,0.6687448
Revenue Growth 5yr,0.2323303
Dividend Growth 5yr,
Short Int Current Month,1688962.0
Short Int Prev Month,1718490.0
Short Int Pct of Float,0.0409488
Days to Cover,2.70037
Float,40.8428
Shares Outstanding,55.67389
Institutions Holding Shares,509.0
% Held by Institutions,0.743397
FCF Growth 5yr,-21.450513538748833
