,PCTY
% Above Low,0.4025
% Held by Institutions,0.7434000000000001
52-Wk Range,['152.01 - 276.88']
Annual Dividend $,
Annual Dividend %,
Ask,213.61
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,212.85
Bid Size,200.0
Day Change $,-1.94
Day Change %,-0.009000000000000001
Day High,217.51
Day Low,212.59
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.6
Ex-dividend Date,No dividend
Historical Volatility,0.552
Last (size),100.0
Last (time),10:19a ET 11/28/22
Market Cap,11.8B
"P/E Ratio (TTM, GAAP)",134.75
Prev Close,215.14
Price,213.2
Shares Outstanding,55.7M
Short Interest,0.0409
Today's Open,214.05
Volume Past Day,(Light)
