,PCTY
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.13989637305699487
Growth 2yr High Est,0.2702127659574467
Growth 2yr Consensus Est,0.20505456950722079
Growth 5yr Low Est,0.13989637305699487
Growth 5yr High Est,0.2702127659574467
Growth 5yr Consensus Est,0.20505456950722079
Growth 5yr Actual/Est,0.2803041803444223
Growth 3yr Historic,0.16715665154471954
