,CTKB
% Below High,0.3014
% Held by Institutions,0.5232
52-Wk Range,['7.38 - 20.47']
Annual Dividend $,
Annual Dividend %,
Ask,14.3
Ask Size,1700.0
B/A Ratio,0.058823529411764705
B/A Size,100x1700
Beta,
Bid,7.0
Bid Size,100.0
Closing Price,14.3
Day Change $,-0.08
Day Change %,-0.005600000000000001
Day High,14.49
Day Low,14.16
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.01
Ex-dividend Date,No dividend
Historical Volatility,0.601
Last (size),54.0
Last (time),1:00p ET 11/25/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,14.38
Shares Outstanding,134.9M
Short Interest,0.0263
Today's Open,14.38
Volume,196368.0
Volume 10-day Avg,573600.0
Volume Past Day,(Light)
