,CTKB
Price/Earnings (TTM),
Price/Sales (TTM),12.47398
Price/Book (MRQ),4.63046
Price/Cash Flow (TTM),3336.337
5yr Low,7.38
5yr High,28.7
5yr Avg Return,-0.16515000000000002
Short Int Current Month,2772101.0
Short Int Prev Month,3250708.0
Short Int Pct of Float,0.026257600000000002
Days to Cover,5.62808
Float,111.5448
Shares Outstanding,134.8534
Institutions Holding Shares,120.0
% Held by Institutions,0.523169
FCF Growth 5yr,-1.3557924137238742
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
