,CFFN
% Above Low,0.14150000000000001
% Held by Institutions,0.7634000000000001
52-Wk Range,['7.19 - 11.99']
Annual Dividend $,0.34
Annual Dividend %,0.0414
Ask,8.85
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,0.4
Bid,6.63
Bid Size,400.0
Closing Price,8.21
Day Change $,-0.06
Day Change %,-0.0073
Day High,8.31
Day Low,8.21
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",0.62
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.254
Last (size),25.0
Last (time),12:59p ET 11/25/22
Market Cap,1.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.2
Prev Close,8.27
Shares Outstanding,138.9M
Short Interest,0.0268
Today's Open,8.31
Volume,250628.0
Volume 10-day Avg,567632.0
Volume Past Day,(Light)
