,CFFN
Price/Earnings (TTM),13.19893
Price/Sales (TTM),5.24004
Price/Book (MRQ),1.0397
Price/Cash Flow (TTM),11.85871
5yr Low,7.19
5yr High,14.57
5yr Avg Return,-0.07465
EPS Growth 5yr,-0.0014088
Revenue Growth 5yr,-0.022473999999999997
Dividend Growth 5yr,0.0
Short Int Current Month,3408518.0
Short Int Prev Month,3506719.0
Short Int Pct of Float,0.0267588
Days to Cover,5.40937
Float,127.5269
Shares Outstanding,137.4946
Institutions Holding Shares,252.0
% Held by Institutions,0.763351
FCF Growth 5yr,0.7013103815886387
