,MQ
% Above Low,0.076
% Held by Institutions,0.6686
52-Wk Range,['6.05 - 22.61']
Annual Dividend $,
Annual Dividend %,
Ask,6.8
Ask Size,500.0
Ask close,7.95
B/A Ratio,0.6
B/A Size,300x500
Beta,
Bid,6.4
Bid Size,300.0
Bid close,5.03
Change Since Close,0.14| |(2.15%)
Closing Price,6.51
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.36
Ex-dividend Date,No dividend
Historical Volatility,0.902
Last (size),100.0
Last (time),1:00p ET 11/25/22
Last Trade,6.65
Market Cap,3.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,6.51
Shares Outstanding,545.1M
Short Interest,0.0345
Today's Open,
Volume,551.0
Volume 10-day Avg,5958427.0
Volume Past Day,(Light)
