,MQ
Price/Earnings (TTM),
Price/Sales (TTM),5.07079
Price/Book (MRQ),2.35832
Price/Cash Flow (TTM),
5yr Low,6.05
5yr High,37.9
5yr Avg Return,-0.54845
Short Int Current Month,15536657.0
Short Int Prev Month,18682257.0
Short Int Pct of Float,0.034512299999999996
Days to Cover,2.08838
Float,471.0281
Shares Outstanding,545.1026
Institutions Holding Shares,325.0
% Held by Institutions,0.6685939999999999
FCF Growth 5yr,-0.7226851851851851
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
