,HII
% Below High,0.11410000000000001
% Held by Institutions,0.8674
52-Wk Range,['175.50 - 260.02']
Annual Dividend $,4.96
Annual Dividend %,0.0215
Ask,260.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,202.14
Bid Size,100.0
Closing Price,230.36
Day Change $,2.78
Day Change %,0.012199999999999999
Day High,230.46
Day Low,228.49
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",14.36
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.268
Last (size),1000.0
Last (time),5:00p ET 11/25/22
Market Cap,9.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",16.04
Prev Close,227.58
Shares Outstanding,39.9M
Short Interest,0.021
Today's Open,229.36
Volume,115087.0
Volume 10-day Avg,561411.0
Volume Past Day,(Light)
