,HII
Price/Earnings (TTM),16.04405
Price/Sales (TTM),0.87204
Price/Book (MRQ),3.01554
Price/Cash Flow (TTM),9.86285
5yr Low,136.44
5yr High,279.71
5yr Avg Return,0.02223333333333333
EPS Growth 5yr,0.021448000000000002
Revenue Growth 5yr,0.0614623
Dividend Growth 5yr,0.1697895
Short Int Current Month,817077.0
Short Int Prev Month,665710.0
Short Int Pct of Float,0.0210277
Days to Cover,1.6301
Float,38.98889
Shares Outstanding,39.90354
Institutions Holding Shares,730.0
% Held by Institutions,0.867356
FCF Growth 5yr,-1.371743883939006
