,HII
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.07110438729198187
Growth 1yr High Est,0.10465116279069764
Growth 1yr Consensus Est,0.08787777504133976
Growth 2yr Low Est,0.04120191116011529
Growth 2yr High Est,0.07239137086903302
Growth 2yr Consensus Est,0.056796641014574156
Growth 5yr Low Est,0.013615661462410611
Growth 5yr High Est,0.031035543085762035
Growth 5yr Consensus Est,0.022325602274086323
Growth 5yr Actual/Est,0.03227611972981176
Growth 3yr Historic,0.0027607801395402864
