,PI
Price/Earnings (TTM),
Price/Sales (TTM),13.51929
Price/Book (MRQ),1531.216
Price/Cash Flow (TTM),
5yr Low,9.95
5yr High,124.52
5yr Avg Return,0.39905
EPS Growth 5yr,
Revenue Growth 5yr,0.11125600000000001
Dividend Growth 5yr,
Short Int Current Month,2084559.0
Short Int Prev Month,2173626.0
Short Int Pct of Float,0.0839015
Days to Cover,4.31794
Float,24.84532
Shares Outstanding,25.915
Institutions Holding Shares,259.0
% Held by Institutions,0.9888469999999999
FCF Growth 5yr,-0.20226771722991058
