,PI
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-2.333333333333333
Growth 1yr High Est,-2.672727272727273
Growth 1yr Consensus Est,-2.503030303030303
Growth 2yr Low Est,-1.024621212121212
Growth 2yr High Est,-1.0102766798418972
Growth 2yr Consensus Est,-1.0174489459815546
Growth 5yr Low Est,-17.262310606060606
Growth 5yr High Est,-7.630138339920949
Growth 5yr Consensus Est,-12.446224472990776
Growth 5yr Actual/Est,-3.3477182539682544
Growth 3yr Historic,-4.111607142857143
