,PI
% Below High,0.0212
% Held by Institutions,0.9887999999999999
52-Wk Range,['39.74 - 124.52']
Annual Dividend $,
Annual Dividend %,
Ask,121.89
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.3
Bid,121.37
Bid Size,100.0
Day Change $,-0.0752
Day Change %,-0.0006
Day High,123.67
Day Low,121.02
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.77
Ex-dividend Date,No dividend
Historical Volatility,0.7490000000000001
Last (size),11.0
Last (time),10:48a ET 11/28/22
Market Cap,3.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,121.96
Price,121.88
Shares Outstanding,25.9M
Short Interest,0.0839
Today's Open,121.11
Volume Past Day,(Light)
