,CE
Price/Earnings (TTM),6.88825
Price/Sales (TTM),1.18187
Price/Book (MRQ),2.29123
Price/Cash Flow (TTM),5.43387
5yr Low,52.7
5yr High,176.5
5yr Avg Return,0.030333333333333337
EPS Growth 5yr,0.22467289999999998
Revenue Growth 5yr,0.09637570000000001
Dividend Growth 5yr,0.1453493
Short Int Current Month,2234339.0
Short Int Prev Month,1988711.0
Short Int Pct of Float,0.0206711
Days to Cover,1.40373
Float,108.1137
Shares Outstanding,108.4281
Institutions Holding Shares,890.0
% Held by Institutions,0.949505
FCF Growth 5yr,0.6025830082033798
