,BOKF
% Below High,0.1341
% Held by Institutions,0.3601
52-Wk Range,['70.21 - 120.20']
Annual Dividend $,2.16
Annual Dividend %,0.0208
Ask,107.54
Ask Size,900.0
B/A Ratio,0.5555555555555556
B/A Size,500x900
Beta,1.3
Bid,100.73
Bid Size,500.0
Closing Price,104.08
Day Change $,1.01
Day Change %,0.0098
Day High,104.09
Day Low,103.31
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",6.9
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.29
Last (size),7.0
Last (time),12:59p ET 11/25/22
Market Cap,7.0B
"P/E Ratio (TTM, GAAP)",15.08
Prev Close,103.07
Shares Outstanding,67.3M
Short Interest,0.0174
Today's Open,103.62
Volume,59766.0
Volume 10-day Avg,156851.0
Volume Past Day,(Light)
