,BOKF
Price/Earnings (TTM),15.08434
Price/Sales (TTM),4.02418
Price/Book (MRQ),1.55209
Price/Cash Flow (TTM),12.16142
5yr Low,34.57
5yr High,120.2
5yr Avg Return,0.05746666666666665
EPS Growth 5yr,0.20465
Revenue Growth 5yr,0.0731193
Dividend Growth 5yr,0.0385324
Short Int Current Month,496952.0
Short Int Prev Month,678376.0
Short Int Pct of Float,0.0174067
Days to Cover,2.61335
Float,28.65813
Shares Outstanding,67.25438
Institutions Holding Shares,269.0
% Held by Institutions,0.360137
FCF Growth 5yr,-0.41302232314391124
