,BOKF
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.1810055865921787
Growth 1yr High Est,-0.17724288840262592
Growth 1yr Consensus Est,-0.1791242374974023
Growth 2yr Low Est,-0.03047550816648492
Growth 2yr High Est,0.04103281111783602
Growth 2yr Consensus Est,0.00527865147567555
Growth 5yr Low Est,0.0817703997845663
Growth 5yr High Est,0.0995509995485826
Growth 5yr Consensus Est,0.09066069966657445
Growth 5yr Actual/Est,0.08713441865894384
Growth 3yr Historic,0.08159813584522366
