,COUP
% Above Low,0.5558
% Held by Institutions,0.9765
52-Wk Range,['40.30 - 205.00']
Annual Dividend $,
Annual Dividend %,
Ask,64.2
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.3
Bid,63.91
Bid Size,100.0
Closing Price,62.69
Day Change $,3.76
Day Change %,0.0638
Day High,64.42
Day Low,58.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.59
Ex-dividend Date,No dividend
Historical Volatility,0.8470000000000001
Last (size),6.0
Last (time),1:00p ET 11/25/22
Market Cap,4.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,58.93
Shares Outstanding,75.9M
Short Interest,0.0965
Today's Open,59.76
Volume,7989303.0
Volume 10-day Avg,3854427.0
Volume Past Day,(Heavy Day)
