,COUP
Price/Earnings (TTM),
Price/Sales (TTM),6.05154
Price/Book (MRQ),15.0009
Price/Cash Flow (TTM),
5yr Low,30.65
5yr High,377.04
5yr Avg Return,0.40154999999999996
EPS Growth 5yr,
Revenue Growth 5yr,0.4022557
Dividend Growth 5yr,
Short Int Current Month,7279504.0
Short Int Prev Month,6941415.0
Short Int Pct of Float,0.0965445
Days to Cover,2.93389
Float,75.39631
Shares Outstanding,75.93027
Institutions Holding Shares,511.0
% Held by Institutions,0.97649
FCF Growth 5yr,0.16330173330282616
