,CYTK
% Above Low,0.39030000000000004
% Held by Institutions,1.1198000000000001
52-Wk Range,['29.26 - 55.80']
Annual Dividend $,
Annual Dividend %,
Ask,40.75
Ask Size,100.0
B/A Ratio,22.0
B/A Size,2200x100
Beta,1.0
Bid,40.36
Bid Size,2200.0
Closing Price,40.68
Day Change $,0.17
Day Change %,0.0042
Day High,41.0
Day Low,40.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.16
Ex-dividend Date,No dividend
Historical Volatility,0.648
Last (size),39.0
Last (time),12:59p ET 11/25/22
Market Cap,3.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,40.51
Shares Outstanding,94.6M
Short Interest,0.1209
Today's Open,40.26
Volume,295828.0
Volume 10-day Avg,761808.0
Volume Past Day,(Light)
