,CYTK
Price/Earnings (TTM),
Price/Sales (TTM),25.9702
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,5.75
5yr High,55.8
5yr Avg Return,0.4273499999999999
EPS Growth 5yr,
Revenue Growth 5yr,-0.0792218
Dividend Growth 5yr,
Short Int Current Month,10935648.0
Short Int Prev Month,11336773.0
Short Int Pct of Float,0.120886
Days to Cover,10.56039
Float,90.45659
Shares Outstanding,94.631
Institutions Holding Shares,373.0
% Held by Institutions,1.119846
FCF Growth 5yr,1.0649233764981587
