,CTOS
% Above Low,0.5171
% Held by Institutions,0.9274
52-Wk Range,['4.54 - 9.40']
Annual Dividend $,
Annual Dividend %,
Ask,8.2
Ask Size,1800.0
B/A Ratio,0.16666666666666666
B/A Size,300x1800
Beta,0.6
Bid,5.95
Bid Size,300.0
Closing Price,6.88
Day Change $,0.09
Day Change %,0.013300000000000001
Day High,6.95
Day Low,6.76
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.02
Ex-dividend Date,No dividend
Historical Volatility,0.535
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",407.1
Prev Close,6.79
Shares Outstanding,246.6M
Short Interest,0.0325
Today's Open,6.76
Volume,39709.0
Volume 10-day Avg,332246.0
Volume Past Day,(Light)
