,CTOS
Price/Earnings (TTM),407.1006
Price/Sales (TTM),1.17587
Price/Book (MRQ),1.97287
Price/Cash Flow (TTM),7.11392
5yr Low,1.38
5yr High,11.36
5yr Avg Return,0.03091666666666665
Short Int Current Month,1906851.0
Short Int Prev Month,2084778.0
Short Int Pct of Float,0.032531500000000005
Days to Cover,4.24297
Float,207.2249
Shares Outstanding,246.5904
Institutions Holding Shares,115.0
% Held by Institutions,0.9273699999999999
FCF Growth 5yr,0.6616251052341278
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
