,CTOS
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-1.2549019607843137
Growth 1yr High Est,-1.5161290322580645
Growth 1yr Consensus Est,-1.385515496521189
Growth 2yr Low Est,-0.473604826546003
Growth 2yr High Est,-0.19556451612903225
Growth 2yr Consensus Est,-0.3345846713375176
Growth 5yr Low Est,-0.31573655103066867
Growth 5yr High Est,-0.1303763440860215
Growth 5yr Consensus Est,-0.22305644755834508
Growth 5yr Actual/Est,-0.049522594063149905
Growth 3yr Historic,0.06714407260351674
