,CTLP
Price/Earnings (TTM),
Price/Sales (TTM),1.12137
Price/Book (MRQ),1.64745
Price/Cash Flow (TTM),
5yr Low,2.77
5yr High,16.83
5yr Avg Return,0.03459999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.1513249
Dividend Growth 5yr,
Short Int Current Month,569214.0
Short Int Prev Month,707121.0
Short Int Pct of Float,0.0087136
Days to Cover,1.14476
Float,65.32713
Shares Outstanding,71.21813
Institutions Holding Shares,162.0
% Held by Institutions,0.694542
FCF Growth 5yr,0.22870049065338063
