,CTLP
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,2.0
Growth 1yr High Est,-4.0
Growth 1yr Consensus Est,-1.0
Growth 2yr Low Est,0.5
Growth 2yr High Est,0.0
Growth 2yr Consensus Est,0.25
Growth 5yr Low Est,0.5
Growth 5yr High Est,0.0
Growth 5yr Consensus Est,0.25
Growth 5yr Actual/Est,-1.701984126984127
Growth 3yr Historic,-0.3686507936507937
