,PRFT
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.2603550295857988
Growth 1yr High Est,0.2543859649122808
Growth 1yr Consensus Est,0.2573704972490398
Growth 2yr Low Est,0.1559991110370309
Growth 2yr High Est,0.21227456753772544
Growth 2yr Consensus Est,0.18413683928737817
Growth 5yr Low Est,0.22229506045703595
Growth 5yr High Est,0.2498163506036672
Growth 5yr Consensus Est,0.23605570553035157
Growth 5yr Actual/Est,0.23860459678927776
Growth 3yr Historic,0.15193236714975844
