,PRFT
% Above Low,0.14730000000000001
% Held by Institutions,0.9375
52-Wk Range,['59.79 - 141.74']
Annual Dividend $,
Annual Dividend %,
Ask,68.63
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.5
Bid,68.47
Bid Size,500.0
Day Change $,-0.85
Day Change %,-0.012199999999999999
Day High,68.74
Day Low,68.21
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.24
Ex-dividend Date,No dividend
Historical Volatility,0.499
Last (size),2.0
Last (time),11:25a ET 11/28/22
Market Cap,2.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",30.93
Prev Close,69.44
Price,68.59
Shares Outstanding,34.6M
Short Interest,0.0373
Today's Open,68.74
Volume Past Day,(Light)
