,PRFT
Price/Earnings (TTM),30.93247
Price/Sales (TTM),2.71035
Price/Book (MRQ),6.13458
Price/Cash Flow (TTM),21.05124
5yr Low,18.23
5yr High,153.28
5yr Avg Return,0.41775
EPS Growth 5yr,0.20781490000000002
Revenue Growth 5yr,0.09339589999999999
Dividend Growth 5yr,
Short Int Current Month,1263975.0
Short Int Prev Month,1284110.0
Short Int Pct of Float,0.0373227
Days to Cover,5.27628
Float,33.87335
Shares Outstanding,34.62844
Institutions Holding Shares,360.0
% Held by Institutions,0.937537
FCF Growth 5yr,0.8837586268264648
