,OTTR
Next Earnings Announcement,2023-02-13 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.5755395683453239
Growth 1yr High Est,0.7009569377990432
Growth 1yr Consensus Est,0.6382482530721836
Growth 2yr Low Est,0.0625034219199983
Growth 2yr High Est,0.1704503395043036
Growth 2yr Consensus Est,0.11647688071215095
Growth 5yr Low Est,0.2499115233698115
Growth 5yr High Est,0.2979424306200339
Growth 5yr Consensus Est,0.27392697699492274
Growth 5yr Actual/Est,0.2671079355486292
Growth 3yr Historic,0.22150833037929818
