,OTTR
% Above Low,0.08689999999999999
% Held by Institutions,0.5717
52-Wk Range,['52.60 - 82.46']
Annual Dividend $,1.65
Annual Dividend %,0.028399999999999998
Ask,57.47
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.5
Bid,57.16
Bid Size,200.0
Day Change $,-0.88
Day Change %,-0.0152
Day High,57.88
Day Low,57.17
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",7.01
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.32299999999999995
Last (size),2.0
Last (time),9:49a ET 11/28/22
Market Cap,2.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",8.28
Prev Close,58.05
Price,57.17
Shares Outstanding,41.6M
Short Interest,0.0291
Today's Open,57.88
Volume Past Day,(Light)
