,LPI
Price/Earnings (TTM),1.48817
Price/Sales (TTM),0.52708
Price/Book (MRQ),1.07405
Price/Cash Flow (TTM),1.0365
5yr Low,6.6
5yr High,233.6
5yr Avg Return,0.10901666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.18469729999999998
Dividend Growth 5yr,
Short Int Current Month,2061310.0
Short Int Prev Month,1829605.0
Short Int Pct of Float,0.1312968
Days to Cover,3.10306
Float,15.70232
Shares Outstanding,16.81354
Institutions Holding Shares,256.0
% Held by Institutions,0.789052
FCF Growth 5yr,2.836232214001138
