,LPI
% Above Low,0.2404
% Held by Institutions,0.7890999999999999
52-Wk Range,['51.23 - 120.86']
Annual Dividend $,
Annual Dividend %,
Ask,61.95
Ask Size,
B/A Ratio,
B/A Size,--
Beta,3.3
Bid,
Bid Size,
Change Since Close,-1.63| |(-2.57%)
Closing Price,63.54
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",42.7
Ex-dividend Date,No dividend
Historical Volatility,0.846
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,61.91
Market Cap,1.1B
"P/E Ratio (TTM, GAAP)",1.49
Prev Close,63.54
Shares Outstanding,16.8M
Short Interest,0.1313
Today's Open,
Volume,14.0
Volume 10-day Avg,488094.0
Volume Past Day,(Light)
