,PRGO
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.10439560439560425
Growth 1yr High Est,-0.028846153846153855
Growth 1yr Consensus Est,0.037774725274725196
Growth 2yr Low Est,0.22632715543163306
Growth 2yr High Est,0.31478484386900224
Growth 2yr Consensus Est,0.2705559996503176
Growth 5yr Low Est,-0.012554628819862967
Growth 5yr High Est,0.035742407241583146
Growth 5yr Consensus Est,0.01159388921086009
Growth 5yr Actual/Est,-0.010368013503692042
Growth 3yr Historic,-0.11813740694789082
