,PRGO
Price/Earnings (TTM),
Price/Sales (TTM),1.00797
Price/Book (MRQ),0.96358
Price/Cash Flow (TTM),19.39825
5yr Low,31.32
5yr High,95.93
5yr Avg Return,-0.10926666666666668
EPS Growth 5yr,
Revenue Growth 5yr,-0.0475633
Dividend Growth 5yr,0.10603440000000001
Short Int Current Month,4608717.0
Short Int Prev Month,3929513.0
Short Int Pct of Float,0.0345902
Days to Cover,1.83429
Float,133.2914
Shares Outstanding,134.6398
Institutions Holding Shares,434.0
% Held by Institutions,0.957979
FCF Growth 5yr,3.27897236978947
