,PRGO
% Above Low,0.0236
% Held by Institutions,0.958
52-Wk Range,['31.32 - 43.90']
Annual Dividend $,1.04
Annual Dividend %,0.0316
Ask,32.06
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,0.9
Bid,32.04
Bid Size,200.0
Day Change $,-0.89
Day Change %,-0.027000000000000003
Day High,32.9
Day Low,32.02
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",-0.64
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.319
Last (size),100.0
Last (time),11:29a ET 11/28/22
Market Cap,4.3B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",
Prev Close,32.95
Price,32.06
Shares Outstanding,134.6M
Short Interest,0.0346
Today's Open,32.75
Volume Past Day,(Light)
