,ONEM
Price/Earnings (TTM),
Price/Sales (TTM),3.43398
Price/Book (MRQ),2.12181
Price/Cash Flow (TTM),
5yr Low,5.94
5yr High,59.82
5yr Avg Return,0.2595
Short Int Current Month,11843373.0
Short Int Prev Month,9140056.0
Short Int Pct of Float,0.06342249999999999
Days to Cover,3.60227
Float,186.695
Shares Outstanding,204.3504
Institutions Holding Shares,279.0
% Held by Institutions,0.770632
FCF Growth 5yr,0.35577795126369294
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
