,ONEM
% Below High,0.08810000000000001
% Held by Institutions,0.7706000000000001
52-Wk Range,['5.94 - 18.46']
Annual Dividend $,
Annual Dividend %,
Ask,16.9
Ask Size,800.0
B/A Ratio,0.125
B/A Size,100x800
Beta,
Bid,16.82
Bid Size,100.0
Closing Price,16.83
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.02
Ex-dividend Date,No dividend
Historical Volatility,0.9400000000000001
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,3.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,16.83
Shares Outstanding,204.4M
Short Interest,0.0634
Today's Open,
Volume,378999.0
Volume 10-day Avg,2483068.0
Volume Past Day,(Light)
