,WH
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.2542372881355932
Growth 1yr High Est,0.2703583061889252
Growth 1yr Consensus Est,0.2622977971622592
Growth 2yr Low Est,0.13792945487860742
Growth 2yr High Est,0.1928714607867703
Growth 2yr Consensus Est,0.16540045783268886
Growth 5yr Low Est,0.4043514051706242
Growth 5yr High Est,0.341324411452279
Growth 5yr Consensus Est,0.3728379083114516
Growth 5yr Actual/Est,0.40852655485960665
Growth 3yr Historic,0.3454963888231115
