,WH
Price/Earnings (TTM),19.38623
Price/Sales (TTM),4.16134
Price/Book (MRQ),6.12999
Price/Cash Flow (TTM),14.98854
5yr Low,14.5
5yr High,93.86
5yr Avg Return,0.07094000000000002
EPS Growth 5yr,0.08582649999999999
Revenue Growth 5yr,0.0358959
Dividend Growth 5yr,
Short Int Current Month,2903338.0
Short Int Prev Month,2767618.0
Short Int Pct of Float,0.0334062
Days to Cover,2.84499
Float,86.94361
Shares Outstanding,88.32424
Institutions Holding Shares,529.0
% Held by Institutions,0.9321699999999999
FCF Growth 5yr,0.18212415840372134
