,WH
% Above Low,0.2169
% Held by Institutions,0.9322
52-Wk Range,['58.82 - 93.86']
Annual Dividend $,1.28
Annual Dividend %,0.0175
Ask,73.49
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.5
Bid,71.17
Bid Size,100.0
Closing Price,71.57
Day Change $,-1.74
Day Change %,-0.023700000000000002
Day High,73.37
Day Low,71.49
Dividend Pay Date,2022-12-28 00:00:00
"EPS (TTM, GAAP)",3.78
Ex-dividend,2022-12-13 00:00:00
Ex-dividend Date,12/13/22
Historical Volatility,0.369
Last (size),5500.0
Last (time),7:00p ET 11/28/22
Market Cap,6.3B
"P/E Ratio (TTM, GAAP)",19.39
Prev Close,73.31
Shares Outstanding,88.3M
Short Interest,0.0334
Today's Open,72.9
Volume,664246.0
Volume 10-day Avg,628568.0
Volume Past Day,(Average)
