,GABC
Price/Earnings (TTM),14.84278
Price/Sales (TTM),4.70005
Price/Book (MRQ),2.36918
Price/Cash Flow (TTM),13.55391
5yr Low,23.54
5yr High,51.11
5yr Avg Return,0.022983333333333335
EPS Growth 5yr,0.1507249
Revenue Growth 5yr,0.1051176
Dividend Growth 5yr,0.11842689999999999
Short Int Current Month,432920.0
Short Int Prev Month,476021.0
Short Int Pct of Float,0.015624800000000001
Days to Cover,6.92185
Float,27.70745
Shares Outstanding,29.48512
Institutions Holding Shares,166.0
% Held by Institutions,0.41550800000000004
FCF Growth 5yr,0.06593915343915342
