,GABC
% Below High,0.0513
% Held by Institutions,0.4155
52-Wk Range,['32.76 - 41.90']
Annual Dividend $,0.92
Annual Dividend %,0.0231
Ask,42.0
Ask Size,800.0
B/A Ratio,0.25
B/A Size,200x800
Beta,0.7
Bid,15.87
Bid Size,200.0
Closing Price,39.75
Day Change $,0.24
Day Change %,0.0060999999999999995
Day High,39.75
Day Low,39.0
Dividend Pay Date,2022-11-20 00:00:00
"EPS (TTM, GAAP)",2.68
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.254
Last (size),13.0
Last (time),1:00p ET 11/25/22
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",14.84
Prev Close,39.51
Shares Outstanding,29.5M
Short Interest,0.015600000000000001
Today's Open,39.66
Volume,18204.0
Volume 10-day Avg,50352.0
Volume Past Day,(Light)
