,FOUR
% Above Low,0.5043
% Held by Institutions,1.0433
52-Wk Range,['29.39 - 66.86']
Annual Dividend $,
Annual Dividend %,
Ask,44.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,42.11
Bid Size,100.0
Closing Price,44.21
Day Change $,-0.89
Day Change %,-0.0197
Day High,45.14
Day Low,43.79
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.39
Ex-dividend Date,No dividend
Historical Volatility,0.7270000000000001
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,2.5B
"P/E Ratio (TTM, GAAP)",112.29
Prev Close,45.1
Shares Outstanding,56.6M
Short Interest,0.2048
Today's Open,44.67
Volume,333667.0
Volume 10-day Avg,1339189.0
Volume Past Day,(Light)
