,FOUR
Price/Earnings (TTM),112.2851
Price/Sales (TTM),1.96499
Price/Book (MRQ),12.05174
Price/Cash Flow (TTM),22.27032
5yr Low,29.39
5yr High,104.11
5yr Avg Return,0.2666333333333334
Short Int Current Month,10591708.0
Short Int Prev Month,10429278.0
Short Int Pct of Float,0.20482869999999997
Days to Cover,6.45617
Float,51.70328
Shares Outstanding,82.46214
Institutions Holding Shares,281.0
% Held by Institutions,1.043298
FCF Growth 5yr,0.4166666666666666
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
