,WK
% Above Low,0.2928
% Held by Institutions,0.9098
52-Wk Range,['59.43 - 144.85']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,60.66
Bid Size,
Closing Price,76.83
Day Change $,-0.68
Day Change %,-0.0088
Day High,78.15
Day Low,76.51
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.73
Ex-dividend Date,No dividend
Historical Volatility,0.596
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,4.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,77.51
Shares Outstanding,52.5M
Short Interest,0.0493
Today's Open,76.51
Volume,295750.0
Volume 10-day Avg,258240.0
Volume Past Day,(Above Average)
