,PRTA
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-4.394230769230768
Growth 1yr High Est,-2.7320261437908497
Growth 1yr Consensus Est,-3.563128456510809
Growth 2yr Low Est,-2.017228699062976
Growth 2yr High Est,-1.6622394869897645
Growth 2yr Consensus Est,-1.8397340930263704
Growth 5yr Low Est,-1.2421826350595193
Growth 5yr High Est,-1.1268447302279516
Growth 5yr Consensus Est,-1.1845136826437355
Growth 5yr Actual/Est,-0.9711520768019047
Growth 3yr Historic,-0.267690463014204
