,SBNY
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),1.14998
Price/Cash Flow (TTM),
5yr Low,68.98
5yr High,374.76
5yr Avg Return,0.14696666666666666
EPS Growth 5yr,0.1536453
Revenue Growth 5yr,0.1070744
Dividend Growth 5yr,
Short Int Current Month,2329615.0
Short Int Prev Month,1607129.0
Short Int Pct of Float,0.037686899999999995
Days to Cover,1.67796
Float,62.91694
Shares Outstanding,62.92893
Institutions Holding Shares,738.0
% Held by Institutions,0.9358249999999999
FCF Growth 5yr,-0.8112118794800581
