,SBNY
% Above Low,0.0342
% Held by Institutions,0.9358
52-Wk Range,['129.96 - 374.76']
Annual Dividend $,2.24
Annual Dividend %,0.016
Ask,134.46
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.6
Bid,134.3
Bid Size,300.0
Day Change $,-5.84
Day Change %,-0.0416
Day High,140.19
Day Low,134.4
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",
Ex-dividend,2022-10-27 00:00:00
Ex-dividend Date,10/27/22
Historical Volatility,0.562
Last (size),500.0
Last (time),1:43p ET 11/28/22
Market Cap,8.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,140.24
Price,134.4
Shares Outstanding,62.9M
Short Interest,0.0377
Today's Open,137.82
Volume Past Day,(Light)
