,MXCT
% Above Low,0.8214
% Held by Institutions,0.8304
52-Wk Range,['3.36 - 11.56']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,
Bid Size,
Closing Price,6.12
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.24
Ex-dividend Date,No dividend
Historical Volatility,0.782
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,624.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,6.12
Shares Outstanding,102.0M
Short Interest,0.0218
Today's Open,
Volume,54586.0
Volume 10-day Avg,238032.0
Volume Past Day,(Light)
