,ATVI
% Below High,0.1545
% Held by Institutions,0.8055
52-Wk Range,['56.40 - 86.90']
Annual Dividend $,0.47
Annual Dividend %,0.0064
Ask,73.49
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,0.5
Bid,73.1
Bid Size,100.0
Closing Price,73.47
Day Change $,-3.12
Day Change %,-0.0407
Day High,74.27
Day Low,73.05
Dividend Pay Date,2022-05-06 00:00:00
"EPS (TTM, GAAP)",2.13
Ex-dividend,2022-04-13 00:00:00
Ex-dividend Date,04/13/22
Historical Volatility,0.28
Last (size),1000.0
Last (time),12:59p ET 11/25/22
Market Cap,57.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",34.52
Prev Close,76.59
Shares Outstanding,782.6M
Short Interest,0.030600000000000002
Today's Open,73.89
Volume,9179830.0
Volume 10-day Avg,6444196.0
Volume Past Day,(Heavy Day)
