,ATVI
Price/Earnings (TTM),34.51581
Price/Sales (TTM),7.81562
Price/Book (MRQ),3.05693
Price/Cash Flow (TTM),28.90874
5yr Low,39.85
5yr High,104.53
5yr Avg Return,0.06306666666666666
EPS Growth 5yr,0.21959800000000002
Revenue Growth 5yr,0.059039400000000006
Dividend Growth 5yr,0.1257058
Short Int Current Month,23728111.0
Short Int Prev Month,23707078.0
Short Int Pct of Float,0.0305857
Days to Cover,3.86708
Float,775.8923
Shares Outstanding,782.6253
Institutions Holding Shares,1684.0
% Held by Institutions,0.805522
FCF Growth 5yr,-0.05582585315722133
