,ATVI
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,-0.2213114754098361
Growth 1yr High Est,-0.15979381443298968
Growth 1yr Consensus Est,-0.19055264492141288
Growth 2yr Low Est,-0.02293643945930396
Growth 2yr High Est,0.07194358358105118
Growth 2yr Consensus Est,0.024503572060873613
Growth 5yr Low Est,0.14939759011003842
Growth 5yr High Est,0.19912784368496758
Growth 5yr Consensus Est,0.174262716897503
Growth 5yr Actual/Est,0.1785918424124207
Growth 3yr Historic,0.1535670829330772
