,ESNT
Next Earnings Announcement,2023-02-10 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.9560723514211886
Growth 1yr High Est,0.9391727493917272
Growth 1yr Consensus Est,0.9476225504064579
Growth 2yr Low Est,0.35782481507651237
Growth 2yr High Est,0.38489377745621495
Growth 2yr Consensus Est,0.37135929626636366
Growth 5yr Low Est,0.10482149844734709
Growth 5yr High Est,0.12398399120160572
Growth 5yr Consensus Est,0.1144027448244764
Growth 5yr Actual/Est,0.08468578084265163
Growth 3yr Historic,0.06506365888310084
