,ESNT
Price/Earnings (TTM),4.94547
Price/Sales (TTM),4.14081
Price/Book (MRQ),0.99089
Price/Cash Flow (TTM),4.90265
5yr Low,17.52
5yr High,55.84
5yr Avg Return,0.006866666666666671
EPS Growth 5yr,0.20423919999999998
Revenue Growth 5yr,0.17549199999999998
Dividend Growth 5yr,
Short Int Current Month,1375164.0
Short Int Prev Month,1903398.0
Short Int Pct of Float,0.0131653
Days to Cover,2.91901
Float,104.525
Shares Outstanding,107.7075
Institutions Holding Shares,355.0
% Held by Institutions,0.949434
FCF Growth 5yr,0.10188430098421102
