,ESNT
% Above Low,0.1529
% Held by Institutions,0.9494
52-Wk Range,['34.27 - 50.17']
Annual Dividend $,0.92
Annual Dividend %,0.0233
Ask,41.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,33.78
Bid Size,100.0
Closing Price,39.51
Day Change $,-0.31
Day Change %,-0.0078000000000000005
Day High,40.01
Day Low,39.28
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",7.99
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.321
Last (size),50.0
Last (time),5:00p ET 11/25/22
Market Cap,4.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",4.95
Prev Close,39.82
Shares Outstanding,107.7M
Short Interest,0.0132
Today's Open,39.98
Volume,135539.0
Volume 10-day Avg,469441.0
Volume Past Day,(Light)
